net,length_um
net27,79.84µm
net21,75.21µm
net23,72.32µm
net25,66µm
net22,41.57µm
net28,39.665µm
net2,30.48µm
net26,20.62µm
net4,20.22µm
net24,19.245µm
net3,17.3µm
net1,12.1µm
otrip[2],11.92µm
otrip_decoded[15],11.27µm
otrip_decoded[11],10.93µm
otrip_decoded[13],10.59µm
otrip[0],10.1µm
otrip_decoded[0],9.91µm
otrip_decoded[8],9.91µm
otrip_decoded[1],8.96µm
otrip_decoded[2],8.96µm
otrip_decoded[4],8.96µm
otrip[1],8.72µm
otrip[3],8.72µm
otrip_decoded[9],8.5µm
net10,7.48µm
net6,7.06µm
net8,6.98µm
otrip_decoded[6],6.91µm
otrip_decoded[3],6.09µm
otrip_decoded[10],5.75µm
otrip_decoded[14],5.75µm
net18,5.68µm
net14,5.38µm
otrip_decoded[12],5.07µm
otrip_decoded[5],4.39µm
otrip_decoded[7],4.39µm
net17,3.88µm
net20,3.88µm
net11,3.3µm
net15,2.72µm
net9,2.5µm
net12,2.04µm
net13,2.04µm
net16,2.04µm
net19,2.04µm
net5,1.14µm
net7,1.14µm
