Instance name, X location, Y location, Voltage
FILLER_0_12_77, 38.82, 43.52, 6.19748e-08
FILLER_0_10_77, 38.82, 38.08, 7.89699e-07
FILLER_0_8_77, 38.82, 32.64, 1.07869e-06
FILLER_0_6_77, 38.82, 27.2, 2.29712e-06
FILLER_0_4_77, 38.82, 21.76, 3.15009e-06
input1, 38.82, 10.88, 9.88617e-06
input2, 38.82, 10.88, 9.88617e-06
input3, 38.82, 10.88, 9.88617e-06
input4, 38.82, 10.88, 9.88617e-06
FILLER_0_0_63, 38.82, 10.88, 9.88617e-06
FILLER_0_0_69, 38.82, 10.88, 9.88617e-06
FILLER_0_0_76, 38.82, 10.88, 9.88617e-06
FILLER_0_1_79, 38.82, 10.88, 9.88617e-06
_10_, 13.82, 32.64, 1.33123e-06
_12_, 13.82, 27.2, 1.94506e-06
_03_, 13.82, 21.76, 3.8023e-06
_06_, 13.82, 21.76, 3.8023e-06
FILLER_0_3_11, 13.82, 21.76, 3.8023e-06
FILLER_0_4_20, 13.82, 21.76, 3.8023e-06
FILLER_0_1_15, 13.82, 16.32, 2.32004e-06
_02_, 13.82, 10.88, 7.12784e-06
output13, 13.82, 10.88, 7.12784e-06
PHY_EDGE_ROW_13_Left_27, 5.52, 48.96, 4.91434e-08
PHY_EDGE_ROW_13_Right_13, 54.28, 48.96, 5.88319e-08
FILLER_0_13_81, 46.55, 48.96, 5.88254e-08
PHY_EDGE_ROW_11_Left_25, 5.52, 43.52, 5.15347e-08
PHY_EDGE_ROW_12_Left_26, 5.52, 43.52, 5.15347e-08
PHY_EDGE_ROW_11_Right_11, 54.28, 43.52, 6.2014e-08
PHY_EDGE_ROW_12_Right_12, 54.28, 43.52, 6.2014e-08
FILLER_0_13_53, 26.32, 43.52, 5.6753e-08
FILLER_0_12_97, 46.55, 43.52, 6.20009e-08
FILLER_0_13_97, 46.55, 43.52, 6.20009e-08
PHY_EDGE_ROW_9_Left_23, 5.52, 38.08, 2.72679e-07
PHY_EDGE_ROW_10_Left_24, 5.52, 38.08, 2.72679e-07
PHY_EDGE_ROW_9_Right_9, 54.28, 38.08, 2.18609e-06
PHY_EDGE_ROW_10_Right_10, 54.28, 38.08, 2.18609e-06
output10, 54.28, 38.08, 2.18609e-06
FILLER_0_11_51, 26.32, 38.08, 5.31187e-07
FILLER_0_10_97, 46.55, 38.08, 1.4879e-06
FILLER_0_11_93, 46.55, 38.08, 1.4879e-06
PHY_EDGE_ROW_7_Left_21, 5.52, 32.64, 2.081e-06
PHY_EDGE_ROW_8_Left_22, 5.52, 32.64, 2.081e-06
output6, 5.52, 32.64, 2.081e-06
PHY_EDGE_ROW_7_Right_7, 54.28, 32.64, 2.47024e-06
PHY_EDGE_ROW_8_Right_8, 54.28, 32.64, 2.47024e-06
output18, 54.28, 32.64, 2.47024e-06
FILLER_0_7_45, 26.32, 32.64, 1.20497e-06
FILLER_0_7_81, 46.55, 32.64, 1.77448e-06
FILLER_0_8_97, 46.55, 32.64, 1.77448e-06
FILLER_0_9_93, 46.55, 32.64, 1.77448e-06
_05_, 5.52, 27.2, 3.05922e-06
PHY_EDGE_ROW_5_Left_19, 5.52, 27.2, 3.05922e-06
PHY_EDGE_ROW_6_Left_20, 5.52, 27.2, 3.05922e-06
output16, 5.52, 27.2, 3.05922e-06
FILLER_0_6_3, 5.52, 27.2, 3.05922e-06
FILLER_0_7_7, 5.52, 27.2, 3.05922e-06
PHY_EDGE_ROW_5_Right_5, 54.28, 27.2, 4.1811e-06
PHY_EDGE_ROW_6_Right_6, 54.28, 27.2, 4.1811e-06
FILLER_0_5_100, 54.28, 27.2, 4.1811e-06
FILLER_0_6_100, 54.28, 27.2, 4.1811e-06
FILLER_0_7_53, 26.32, 27.2, 2.1211e-06
_08_, 46.55, 27.2, 4.18108e-06
_14_, 46.55, 27.2, 4.18108e-06
