Instance name, X location, Y location, Voltage
FILLER_0_13_53, 35.52, 46.24, 1.8
FILLER_0_7_53, 35.52, 29.92, 1.8
fanout28, 35.52, 19.04, 1.8
FILLER_0_2_53, 35.52, 19.04, 1.8
_09_, 35.52, 13.6, 1.79999
input1, 35.52, 13.6, 1.79999
input2, 35.52, 13.6, 1.79999
input3, 35.52, 13.6, 1.79999
output20, 35.52, 13.6, 1.79999
fanout22, 35.52, 13.6, 1.79999
FILLER_0_0_63, 35.52, 13.6, 1.79999
FILLER_0_0_69, 35.52, 13.6, 1.79999
_05_, 10.52, 29.92, 1.8
_10_, 10.52, 29.92, 1.8
FILLER_0_7_7, 10.52, 29.92, 1.8
_06_, 10.52, 24.48, 1.8
_12_, 10.52, 24.48, 1.8
output17, 10.52, 24.48, 1.8
FILLER_0_4_7, 10.52, 24.48, 1.8
_03_, 10.52, 19.04, 1.8
FILLER_0_3_11, 10.52, 19.04, 1.8
FILLER_0_4_20, 10.52, 19.04, 1.8
FILLER_0_1_15, 10.52, 13.6, 1.79999
PHY_EDGE_ROW_12_Left_26, 5.52, 46.24, 1.8
PHY_EDGE_ROW_13_Left_27, 5.52, 46.24, 1.8
PHY_EDGE_ROW_12_Right_12, 54.28, 46.24, 1.8
PHY_EDGE_ROW_13_Right_13, 54.28, 46.24, 1.8
FILLER_0_12_97, 54.28, 46.24, 1.8
FILLER_0_13_97, 54.28, 46.24, 1.8
FILLER_0_12_77, 44.9, 46.24, 1.8
FILLER_0_13_81, 44.9, 46.24, 1.8
PHY_EDGE_ROW_10_Left_24, 5.52, 40.8, 1.8
PHY_EDGE_ROW_11_Left_25, 5.52, 40.8, 1.8
PHY_EDGE_ROW_10_Right_10, 54.28, 40.8, 1.8
PHY_EDGE_ROW_11_Right_11, 54.28, 40.8, 1.8
FILLER_0_10_97, 54.28, 40.8, 1.8
FILLER_0_11_51, 23.02, 40.8, 1.8
FILLER_0_10_77, 44.9, 40.8, 1.8
FILLER_0_11_93, 44.9, 40.8, 1.8
PHY_EDGE_ROW_8_Left_22, 5.52, 35.36, 1.8
PHY_EDGE_ROW_9_Left_23, 5.52, 35.36, 1.8
output6, 5.52, 35.36, 1.8
PHY_EDGE_ROW_8_Right_8, 54.28, 35.36, 1.8
PHY_EDGE_ROW_9_Right_9, 54.28, 35.36, 1.8
output10, 54.28, 35.36, 1.8
FILLER_0_8_97, 54.28, 35.36, 1.8
FILLER_0_8_77, 44.9, 35.36, 1.8
FILLER_0_9_93, 44.9, 35.36, 1.8
PHY_EDGE_ROW_6_Left_20, 5.52, 29.92, 1.8
PHY_EDGE_ROW_7_Left_21, 5.52, 29.92, 1.8
output16, 5.52, 29.92, 1.8
PHY_EDGE_ROW_6_Right_6, 54.28, 29.92, 1.8
